Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Philipp Hammer2	47296	Ahrtal Motorsport SimRacing	4260	4,99		Meister	0,2723	12/16/2019 - Summit Point	12/7/2020 - Bathurst	1	5,9	7	48	47	98	1	0	3843,583	511,81	102	1022	1016	-6	21	1	1	7	21	32	39	44	47	12	0	9	1	Class C	10	True	False	
Michael Fiedler	34924	Speedworld Academy	5123	4,26	AT	Platin	0,92	9/25/2017 - Silverstone Circuit National	12/7/2020 - Bathurst	2	3,7	27	117	100	85	5	0	8515,413	2484,584	555	2475	2420	-55	20	1	1	32	68	79	93	97	106	16	2	30	3	Class B	9	False	False	
Marc Beckhaus	46939	Speedworld Academy	5336	2,97	DE	Silber	0,7111	12/2/2019 - Silverstone Grand Prix	12/7/2020 - Bathurst	3	5,3	7	23	18	78	0	0	1633,929	242,426	87	401	394	-7	17	1	1	2	8	12	17	17	18	1	0	1	5	Class A	3	False	False	
Raphael Rennhofer	45259	Speedworld Academy	5024	4,51		Eisen	0,8051	7/29/2019 - Laguna Seca	12/7/2020 - Bathurst	4	6	3	26	26	100	0	1	2079,457	224,979	104	539	525	-14	20	1	1	2	7	16	21	25	26	5	2	3	20	Class A	7	False	False	
Christian Hengst	39767	Speedworld Academy	3050	4,25	AT	Gold	0,5882	9/24/2018 - Twin Ring Motegi East	12/7/2020 - Bathurst	5	7,8	0	79	68	86	0	0	5818,194	304,403	255	1210	1187	-23	15	2	1	2	18	36	55	60	63	15	0	4	8	Class B	5	False	False	
Sebastian Scholz	36177	Lapped Turtles	7175	2,27	DE	Platin	0,691	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	12/7/2020 - Bathurst	6	5,8	29	82	74	90	1	0	6358,718	1756,55	407	1608	1584	-24	19	1	1	16	41	54	65	67	72	7	0	24	4	Class A	9	False	False	
Georg Matuschinski	37404	-	4829	4,47	DE	Gold	0,6525	3/26/2018 - Canadian Tire Motorsports Park	12/7/2020 - Bathurst	7	8,1	2	81	80	99	0	0	6513,602	377,659	453	1466	1444	-22	17	1	1	4	22	31	63	71	77	6	2	4	2	Class B	5	False	False	
Stefan Frister	47295	Team in the Dirt again	2800	2,54	DE	Gold	1,0133	12/16/2019 - Summit Point	12/7/2020 - Bathurst	8	11,2	0	43	40	93	0	0	3247,727	106,501	293	616	595	-21	13	3	1	2	3	9	23	28	34	0	3	3	7	Class B	5	False	False	
Nino Riepl	47390	Speedworld Junior Team	1730	4,99	AT	Bronze	2,64	12/23/2019 - Circuit Gilles Villeneuve	12/7/2020 - Bathurst	9	19,5	0	13	10	77	0	0	901,66	0	51	80	57	-23	4	11	9	0	0	0	1	4	6	1	0	1	39	Class C	1	False	False	
Tobias Ritt	43426	Ahrtal Motorsport SimRacing	3116	3,43	DE	Silber	0,9458	9/16/2019 - Summit Point	12/7/2020 - Bathurst	10	9,2	2	56	48	86	0	0	3979,508	13,03	351	839	817	-22	14	1	2	0	4	11	34	44	45	2	0	2	12	Class B	3	False	False	
Alexander Wilfert	48565	-	2262	3,7	DE	Silber	0,5204	3/16/2020 - Okayama Full	12/7/2020 - Bathurst	11	13,1	0	36	36	100	0	0	2908,872	0	161	459	451	-8	12	6	5	0	0	2	12	26	31	6	3	0	9	Class B	3	False	False	
Ferdinand Lehn	56853	OSG SimRacing	1655	3,16		Bronze	100	10/5/2020 - Mosport	12/7/2020 - Bathurst	12	14	0	5	5	100	0	0	434,648	0	46	59	58	-1	11	16	9	0	0	0	1	3	5	0	1	0	25	Class C	1	False	False	
Gordon von den Bergen	44826	-	2161	3,26	DE	Eisen	0,7925	6/24/2019 - Road Atlanta Full	12/7/2020 - Bathurst	13	12,2	0	66	62	94	0	1	5233,525	3,943	437	846	826	-20	12	3	3	0	1	4	27	53	59	4	7	0	10	Class C	7	False	False	
Peter Mischek	46070	-	1649	2,62	DE		1,5852	9/21/2020 - Lime Rock Classic	12/7/2020 - Bathurst	14	17,9	0	10	9	90	0	0	746,017	0	64	77	67	-10	6	13	14	0	0	0	0	2	7	0	1	0	23	Class C	0	False	False	
Simon S Mayer	56614	Speedworld Junior Team	182	1,27		Bronze	1,2067	9/28/2020 - Interlagos Grand Prix	12/7/2020 - Bathurst	15	15,4	0	11	10	91	0	0	765,396	0	76	115	108	-7	9	9	8	0	0	0	2	8	9	0	1	0	15	Class D	1	False	False	
Andreas Beer	56390	OSG SimRacing	2349	3,33	DE	Bronze	0,5455	9/21/2020 - Lime Rock Classic	12/7/2020 - Bathurst	16	12,9	0	11	11	100	0	0	811,28	0	45	144	141	-3	12	7	8	0	0	0	4	8	11	2	0	0	11	Class A	1	False	False	
Daniel Lemm	57392	-	2315	4,76			1,3167	10/19/2020 - VIR Grand West	12/7/2020 - Bathurst	17	17,5	0	8	8	100	0	0	600,988	0	38	74	66	-8	8	12	12	0	0	0	0	3	6	1	0	0	19	Class A	0	False	False	
Oliver Nepraunig	46882	-	2731	3,52	AT	Bronze	1,7939	11/25/2019 - Sebring International	12/7/2020 - Bathurst	18	14,3	0	18	11	61	0	0	960,789	0	71	146	131	-15	7	8	5	0	0	1	4	7	10	2	0	0	36	Class A	1	False	False	
Stefan Krumbholz	25563	Ahrtal Motorsport SimRacing	2344	3,1	DE	Silber	1,0736	3/19/2018 - Lime Rock Park Full Course	12/7/2020 - Bathurst	19	11,2	0	72	67	93	0	0	5558,943	13,335	584	992	959	-33	13	3	3	0	2	15	40	52	66	4	9	1	6	Class B	3	False	False	
Thorsten Seifert	58166	-	1010	2,31			100	11/16/2020 - Zolder Grand Prix	12/7/2020 - Bathurst	20	23	0	4	3	75	0	0	268,598	0	40	16	13	-3	3	17	20	0	0	0	0	0	1	0	0	0	42	Class D	0	False	False	
Franz Mittendorfer	44704	-	2640	3,18	AT	Eisen	0,7089	6/17/2019 - Okayama Full	12/7/2020 - Bathurst	21	7,4	0	52	41	79	0	1	3793,989	0	241	762	749	-13	14	2	2	0	6	16	34	39	42	2	2	1	13	Class A	7	False	False	
Paul Bachler	53673	-	2784	3,55			100	12/7/2020 - Bathurst	12/7/2020 - Bathurst	22	0	0	1	0	0	0	0	19,311	0	5	5	4	-1	4	7	22	0	0	0	0	0	0	0	0	0	45	Class B	0	False	False	
Dragos Avasilcutei	41201	-	1907	1,23	AT	Silber	0,8583	1/7/2019 - Interlagos Grand Prix	11/30/2020 - Donnington GP	4	12,8	0	17	16	94	0	0	1334,09	0	101	215	208	-7	12	5	3	0	1	3	6	11	13	1	1	0	34	Class A	3	False	False	
Marcel Jeworutzki	57746	-	3600	3,54	DE		100	11/2/2020 - Belle Isle	11/30/2020 - Donnington GP	7	13,8	0	4	4	100	0	0	272,409	0	12	48	48	0	12	6	7	0	0	0	2	2	3	0	0	0	28	Class A	0	False	False	
Mohamed Bouallegue	57068	-	1631	2,31			100	10/12/2020 - Watkins Glen Classic	11/30/2020 - Donnington GP	14	18,9	0	8	6	75	0	0	473,085	0	64	50	45	-5	5	15	11	0	0	0	0	3	4	1	0	0	29	Class C	0	False	False	
Jan-Ole Waschkau	52223	Simracing by Konrad Motorsport	1542	2,87	DE	Bronze	0,6762	6/1/2020 - Circuit Gilles Villeneuve	11/30/2020 - Donnington GP	16	16,1	0	15	14	93	0	0	1137,669	0	82	141	137	-4	9	15	9	0	0	0	1	8	14	2	2	0	26	Class B	1	False	False	
Guido Grosch	5418	-	1757	4,99	DE	BronzePlus	0,4731	10/9/2017 - Road Atlanta Full Course	11/30/2020 - Donnington GP	17	17,5	0	88	83	94	0	0	6280,609	0	214	637	612	-25	6	6	6	0	0	0	6	27	68	34	3	0	21	Class A	2	False	False	
Sebastian Hollmichel	44705	Simracing by Konrad Motorsport	1848	2,49	DE	BronzePlus	0,7289	6/17/2019 - Okayama Full	11/30/2020 - Donnington GP	18	16,4	0	64	60	94	0	0	4809,357	0	296	570	546	-24	8	9	7	0	0	0	7	30	48	10	7	0	17	Class A	2	False	False	
Michael Buschke	56613	OSG SimRacing	1595	3,52	DE		100	9/28/2020 - Interlagos Grand Prix	11/30/2020 - Donnington GP	20	21,7	0	9	6	67	0	0	489,647	0	49	34	34	0	3	16	17	0	0	0	0	0	4	0	0	0	31	Class A	0	False	False	
Norbert Sulzer	17861	Speedworld Academy	7711	4,99	AT	Gold	1,56	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	11/23/2020 - Spa GP Pits	2	5,6	10	21	20	95	1	0	1654,277	678,683	123	422	399	-23	19	1	1	9	13	14	16	18	18	1	2	9	33	Class A	5	False	False	
MP Markus Perensky	50369	OSG SimRacing	1558	3,58		Bronze	0,6815	5/4/2020 - Brands Hatch Grand Prix	11/23/2020 - Spa GP Pits	15	14,9	0	22	18	82	0	0	1550,856	0	109	223	218	-5	9	9	10	0	0	0	1	12	21	2	1	0	14	Class C	1	False	False	
Julien Schroer	57944	-	2111	2,29			100	11/9/2020 - Industriefahrten	11/23/2020 - Spa GP Pits	17	12,5	0	2	2	100	0	0	125,484	0	4	26	26	0	13	15	8	0	0	0	1	1	2	1	0	0	32	Class A	0	False	False	
Martin Rennhofer	45261	Speedworld Junior Team	2979	1,4	AT	Eisen	2,9897	8/5/2019 - New Hampshire South Oval	11/23/2020 - Spa GP Pits	19	15,8	0	17	13	76	0	1	1095,803	0	103	141	109	-32	6	10	5	0	0	1	2	7	10	2	1	0	44	Class A	7	False	False	
Luca Bouwensch	49333	Speedworld Junior Team	1485	2,2		Bronze	2,2361	4/13/2020 - VIR Full	11/23/2020 - Spa GP Pits	21	16,2	0	28	24	86	0	0	2064,514	0	250	264	227	-37	8	9	8	0	0	0	1	12	22	0	2	0	22	Class C	1	False	False	
Rüdiger Schulte	47300	-	1525	2,13		Bronze	0,7678	12/16/2019 - Summit Point	11/23/2020 - Spa GP Pits	24	20,1	0	29	29	100	0	0	2017,998	0	184	181	171	-10	5	13	10	0	0	0	1	4	16	4	1	0	27	Class B	1	False	False	
Jürgen Frank	36944	SimRC.de	7902	4,99	DE	Platin	0,9873	2/26/2018 - Circuit Gilles Villeneuve	11/9/2020 - Industriefahrten	5	6,1	1	49	42	86	1	0	3338,595	694,139	277	952	929	-23	18	1	1	9	17	26	35	41	44	8	3	2	30	Class A	9	False	False	
Benjamin Köpke	56612	-	2477	2,36			100	9/28/2020 - Interlagos Grand Prix	11/9/2020 - Industriefahrten	16	11	0	4	4	100	0	0	313,05	7,914	31	65	59	-6	14	5	4	0	0	1	2	2	4	0	0	0	24	Class B	0	False	False	
Elena Bouwensch	49775	Speedworld Academy	1845	3,76		EisenMeister	0,6773	4/20/2020 - Industriefahrten	11/9/2020 - Industriefahrten	31	12,5	0	27	25	93	0	1	2137,948	0	119	337	328	-9	12	6	2	0	1	3	10	16	23	4	1	0	18	Class C	8	False	True	
Andre Grigulis	51948	-	2350	4,79	DE	Silber	0,4491	5/25/2020 - Oulton Park International	10/26/2020 - Tsukuba 2000 Full	19	10,4	0	19	19	100	0	0	1605,248	0	38	296	290	-6	15	10	6	0	0	0	13	17	19	6	4	0	16	Class B	3	False	False	
Tobias Trappe	39497	-	1930	2,79	DE	Silber	1,139	9/17/2018 - WeatherTech Raceway at Laguna Seca Full Course	10/12/2020 - Watkins Glen Classic	11	15	0	50	35	70	0	0	3188,951	0	313	364	345	-19	6	5	4	0	0	2	10	21	35	3	6	0	40	Class B	3	False	False	
Joerg Klempert	45963	-	2331	4,83	DE	BronzePlus	0,4667	9/23/2019 - Brands Hatch Indy	10/5/2020 - Mosport	11	14,7	0	29	28	97	0	0	2203,098	0	91	328	321	-7	11	11	7	0	0	0	8	20	24	9	0	0	41	Class A	2	False	False	
Paul Meyer2	48566	Team in the Dirt again	2113	3,74	DE	Bronze	1,8275	3/16/2020 - Okayama Full	10/5/2020 - Mosport	18	14,8	0	18	17	94	0	0	1586,68	0	181	203	184	-19	10	10	6	0	0	0	4	9	15	1	3	0	37	Class D	1	False	False	
Denis Cencig	56391	-	1414	2,74			100	9/21/2020 - Lime Rock Classic	10/5/2020 - Mosport	22	19	0	3	3	100	0	0	237,194	0	15	18	18	0	6	14	16	0	0	0	0	0	2	0	0	0	38	Class B	0	False	False	
Peter Goller	40948	-	2552	2,99	AT	Silber	1,62	11/25/2019 - Sebring International	9/28/2020 - Interlagos Grand Prix	5	9,4	0	13	10	77	0	0	858,475	15,642	48	188	175	-13	13	2	2	0	2	5	7	9	10	1	0	0	35	Class A	3	False	False	
Daniel Epkens	47557	-	1527	3,69	DE		100	9/28/2020 - Interlagos Grand Prix	9/28/2020 - Interlagos Grand Prix	27	27	0	1	0	0	0	0	0	0	0	0	0	0	0	28	27	0	0	0	0	0	0	0	0	0	46	Class A	0	False	False	
Gerrit Sturm	53927	-	2128	2,54		Bronze	1,2667	7/6/2020 - Zandvoort Grand Prix	9/21/2020 - Lime Rock Classic	18	12,8	0	10	9	90	0	0	749,054	0	66	132	125	-7	12	5	6	0	0	0	5	5	8	1	1	0	43	Class B	1	False	False	
Mickaël Buchet	52974	HexaGO Motorsports	1412	1,99			100	6/15/2020 - Summit Point	8/24/2020 - Circuit Gilles Villeneuve	16	19	0	5	4	80	0	0	403,648	0	44	37	33	-4	6	18	16	0	0	0	0	0	4	0	0	0	0	Class A	0	False	False	
Maik Rogin	22271	-	6424	4,99	DE	Bronze	6,3333	4/13/2020 - VIR Full	8/17/2020 - Zolder Grand Prix	21	16,4	0	17	16	94	0	0	1276,609	0	50	164	66	-98	3	9	8	0	0	0	2	4	14	5	1	0	0	Class A	1	False	False	
Markus Faehling	54966	-	1886	3,43	DE		100	8/3/2020 - Industriefahrten	8/3/2020 - Industriefahrten	10	10	0	1	1	100	0	0	145,775	0	3	16	16	0	16	25	10	0	0	0	1	1	1	0	0	0	0	Class B	0	False	False	
Christoph Volant	50368	-	1932	4,9	DE		100	5/4/2020 - Brands Hatch Grand Prix	8/3/2020 - Industriefahrten	11	14,8	0	5	5	100	0	0	365,412	0	21	56	55	-1	11	16	11	0	0	0	0	4	5	0	0	0	0	Class A	0	False	False	
Jens Roecher	34596	Maunz-Racing	2698	4,99	DE	Bronze	0,3714	10/9/2017 - Road Atlanta Full Course	8/3/2020 - Industriefahrten	14	15,2	0	14	14	100	0	0	978,751	0	63	133	132	-1	9	12	5	0	0	1	3	8	11	3	1	0	0	Class A	1	False	False	
Marcel Stemmer	52973	Simracing by Konrad Motorsport	2631	3,81	DE		100	6/15/2020 - Summit Point	8/3/2020 - Industriefahrten	23	19	0	2	1	50	0	0	119,823	0	13	10	10	0	5	22	19	0	0	0	0	0	1	0	0	0	0	Class B	0	False	False	
